"key";"ru";"hy-AM"
"business.clients.searchPlaceholder";"Поиск по имени, email или телефону...";"Որոնել անունով, էլ. փոստով կամ հեռախոսով…"
"business.clients.statuses.permanent";"Постоянный";"Մշտական"
"business.clients.statuses.regular";"Обычный";"Սովորական"
"business.clients.statuses.vip";"VIP";"VIP"
"business.clients.summary.averageCheck";"Средний чек";"Միջին չեկ"
"business.clients.summary.conversionHint";"Завершённые записи / все бронирования (числитель — только завершённые)";"Ավարտված ամրագրումներ / բոլոր ամրագրումները (միայն ավարտվածները հաշվիչում)"
"business.clients.summary.conversionRate";"Конверсия";"Փոխակերպման աստիճան"
"business.clients.summary.favoriteService";"Любимая услуга";"Սիրելի ծառայություն"
"business.clients.summary.favoriteSpecialist";"Любимый мастер";"Սիրելի մասնագետ"
"business.clients.summary.firstVisit";"Первый визит";"Առաջին այց"
"business.clients.summary.lastCompletedVisit";"Последний завершённый визит";"Վերջին ավարտված այց"
"business.clients.summary.lastVisit";"Последний визит";"Վերջին այց"
"business.clients.summary.times.few";"раза";"անգամ"
"business.clients.summary.times.many";"раз";"անգամ"
"business.clients.summary.times.one";"раз";"անգամ"
"business.clients.summary.timesPerMonth";"раз в месяц";"անգամ ամիսը"
"business.clients.summary.title";"Сводка по клиенту";"Հաճախորդի ամփոփում"
"business.clients.summary.visitFrequency";"Частота визитов";"Այցելությունների հաճախականություն"
"business.clients.summary.visitFrequencyHint";"По завершённым визитам";"Ավարտված այցերի հիման վրա"
"business.clients.title";"Клиенты";"Հաճախորդներ"
"business.common.cancel";"Отмена";"Չեղարկել"
"business.common.delete";"Удалить";"Ջնջել"
"business.common.edit";"Редактировать";"Խմբագրել"
"business.common.error";"Ошибка";"Սխալ"
"business.common.info";"Информация";"Տեղեկություն"
"business.common.offsite";"Выездной";"Բջջային"
"business.common.save";"Сохранить";"Պահել"
"business.common.success";"Успешно";"Հաջողություն"
"business.common.warning";"Внимание";"Զգուշացում"
"business.dashboard.chart.error";"Ошибка загрузки данных графика";"Սխալ գրաֆիկի տվյալները բեռնելիս"
"business.dashboard.chart.noData";"Нет данных для отображения";"Ցուցադրելու տվյալներ չկան"
"business.dashboard.overview";"Обзор бизнеса";"Բիզնեսի ակնարկ"
"business.dashboard.periods.thisMonth";"Этот месяц";"Այս ամիս"
"business.dashboard.periods.thisWeek";"Эта неделя";"Այս շաբաթ"
"business.dashboard.periods.thisYear";"Этот год";"Այս տարի"
"business.dashboard.quickActions.addClient";"Добавить клиента";"Ավելացնել հաճախորդ"
"business.dashboard.quickActions.addClientDesc";"Зарегистрировать нового клиента";"Գրանցել նոր հաճախորդ"
"business.dashboard.quickActions.newBooking";"Новое бронирование";"Նոր ամրագրում"
"business.dashboard.quickActions.newBookingDesc";"Создать бронирование вручную";"Ստեղծել ամրագրում ձեռքով"
"business.dashboard.quickActions.profile";"Профиль";"Պրոֆիլ"
"business.dashboard.quickActions.schedule";"Расписание";"Ժամանակացույց"
"business.dashboard.quickActions.scheduleDesc";"Управление расписанием";"Կառավարել ժամանակացույցը"
"business.dashboard.quickActions.settings";"Настройки";"Կարգավորումներ"
"business.dashboard.quickActions.settingsDesc";"Управление настройками бизнеса";"Կառավարել բիզնեսի կարգավորումները"
"business.dashboard.quickActions.title";"Быстрые действия";"Արագ գործողություններ"
"business.dashboard.quickActions.viewProfile";"Просмотр профиля";"Դիտել պրոֆիլը"
"business.dashboard.recentBookings.columns.amount";"Сумма";"Գումար"
"business.dashboard.recentBookings.columns.booking";"Бронирование";"Ամրագրում"
"business.dashboard.recentBookings.columns.client";"Клиент";"Հաճախորդ"
"business.dashboard.recentBookings.columns.dateTime";"Дата и время";"Ամսաթիվ և ժամ"
"business.dashboard.recentBookings.columns.service";"Услуга";"Ծառայություն"
"business.dashboard.recentBookings.columns.status";"Статус";"Կարգավիճակ"
"business.dashboard.recentBookings.mobile.service";"Услуга";"Ծառայություն"
"business.dashboard.recentBookings.noBookings";"Нет бронирований";"Ամրագրումներ չկան"
"business.dashboard.recentBookings.title";"Последние бронирования";"Վերջին ամրագրումներ"
"business.dashboard.recentBookings.viewAll";"Все бронирования";"Բոլոր ամրագրումները"
"business.dashboard.selectPeriod";"Выберите период";"Ընտրեք ժամանակահատված"
"business.dashboard.stats.activeAdvertisements";"Объявления";"Գովազդներ"
"business.dashboard.stats.activeBookings";"Предстоящие брони";"Առաջիկա"
"business.dashboard.stats.adsNowScope";"Активные объявления сейчас";"Ակտիվ գովազդներ հիմա"
"business.dashboard.stats.allTimeScope";"За всё время в системе";"Ամբողջ ժամանակ համակարգում"
"business.dashboard.stats.bookings";"Бронирования";"Ամրագրումներ"
"business.dashboard.stats.comparedToPrevious";"к прошлому периоду";"նախորդ ժամանակահատվածի համեմատ"
"business.dashboard.stats.fromTodayScope";"С сегодняшнего дня";"Այսօրվանից"
"business.dashboard.stats.includingOverdue";"+ {amount} просроч.";"+ {amount} ժամկետանց"
"business.dashboard.stats.newClients";"Новые клиенты";"Նոր հաճախորդներ"
"business.dashboard.stats.periodCardsRange";"Показатели: {from} — {to}";"Թվեր՝ {from} — {to}"
"business.dashboard.stats.pipelineScope";"Сумма по незавершённым записям — оценка, не фактическая выручка";"Ոչ վերջնական ամրագրումների գումար՝ գնահատական, ոչ եկամուտ"
"business.dashboard.stats.revenue";"Доходы";"Եկամուտ"
"business.dashboard.stats.revenueInWork";"В работе";"Ընթացքում"
"business.dashboard.stats.revenuePeriodFootnote";"Завершённые брони за период (по дате услуги).";"Ավարտված ամրագրումները ժամանակահատվածում (ծառայության ամսաթիվ)։"
"business.dashboard.stats.sectionCurrent";"Сейчас";"Հիմա"
"business.dashboard.stats.sectionLifetime";"Накопленные показатели";"Ընդհանուր ամբողջ ժամանակ"
"business.dashboard.stats.statsHintCurrent";"Предстоящие брони, оценка по незавершённым записям, объявления.";"Առաջիկա ամրագրումներ, խողովակի գնահատում, ակտիվ գովազդներ։"
"business.dashboard.stats.statsHintLifetime";"Всё накопленное с начала учёта.";"Ընդհանուրներ՝ հետևելը սկսելուց։"
"business.dashboard.stats.totalBookings";"Бронирования";"Ամրագրումներ"
"business.dashboard.stats.totalClients";"Клиенты";"Հաճախորդներ"
"business.dashboard.stats.totalRevenue";"Выручка";"Եկամուտ"
"business.dashboard.stats.totalRevenueScope";"По всем завершённым бронированиям";"Բոլոր ավարտված ամրագրումները"
"business.dashboard.stats.viewCurrent";"Сейчас";"Հիմա"
"business.dashboard.stats.viewLifetime";"За всё время";"Ամբողջ ժամանակ"
"business.dashboard.title";"Дашборд";"Վահանակ"
"business.discounts.description";"Настройте уровни лояльности по числу бронирований и промокоды для клиентов.";"Կարգավորեք հավատարմության մակարդակներ (ավարտված ամրագրումներով) և պրոմոկոդեր հաճախորդների համար։"
"business.discounts.inactive";"Неактивен";"Ոչ ակտիվ"
"business.discounts.promos.active";"Активен";"Ակտիվ"
"business.discounts.promos.add";"Добавить промокод";"Ավելացնել պրոմոկոդ"
"business.discounts.promos.code";"Код";"Կոդ"
"business.discounts.promos.delete";"Удалить";"Ջնջել"
"business.discounts.promos.description";"Описание";"Նկարագրություն"
"business.discounts.promos.discountType";"Тип скидки";"Զեղչի տեսակ"
"business.discounts.promos.edit";"Изменить";"Խմբագրել"
"business.discounts.promos.empty";"Нет промокодов";"Պրոմոկոդեր չկան"
"business.discounts.promos.fixed";"Фикс. сумма";"Ֆիքս գումար"
"business.discounts.promos.maxDiscount";"Макс. скидка (для %)";"Մաքս. զեղչ (տոկոսի համար)"
"business.discounts.promos.minOrder";"Мин. сумма заказа";"Նվազագույն պատվերի գումար"
"business.discounts.promos.name";"Название";"Վերնագիր"
"business.discounts.promos.perUser";"На одного клиента";"Օգտագործումներ մեկ հաճախորդի համար"
"business.discounts.promos.percentage";"Процент";"Տոկոս"
"business.discounts.promos.save";"Сохранить";"Պահել"
"business.discounts.promos.usageLimit";"Лимит использований";"Ընդհանուր օգտագործման սահման"
"business.discounts.promos.used";"Использовано";"Օգտագործված"
"business.discounts.promos.validFrom";"Действует с";"Ուժի մեջ է՝"
"business.discounts.promos.validUntil";"Действует до";"Ուժի մեջ մինչև"
"business.discounts.promos.value";"Значение";"Արժեք"
"business.discounts.rule.allNonCancelled";"Все кроме отменённых";"Բոլորը՝ բացառությամբ չեղարկված"
"business.discounts.rule.completed";"Только завершённые";"Միայն ավարտված"
"business.discounts.rule.hint";"Какие бронирования учитываются для уровней";"Որ ամրագրումներն են հաշվվում հավատարմության մակարդակների համար"
"business.discounts.tabs.promos";"Промокоды";"Պրոմոկոդեր"
"business.discounts.tabs.rule";"Правило подсчёта";"Հաշվարկի կանոն"
"business.discounts.tabs.tiers";"Уровни лояльности";"Հավատարմության մակարդակներ"
"business.discounts.tiers.active";"Активен";"Ակտիվ"
"business.discounts.tiers.add";"Добавить уровень";"Ավելացնել մակարդակ"
"business.discounts.tiers.advancedCap";"Дополнительно: ограничить диапазон сверху";"Ըստ ցանկության՝ վերին սահման"
"business.discounts.tiers.cancel";"Отмена";"Չեղարկել"
"business.discounts.tiers.cardFrom";"от {min} бронирований";"{min} ամրագրումից"
"business.discounts.tiers.cardRange";"{min}–{max} бронирований";"{min}–{max} ամրագրում"
"business.discounts.tiers.delete";"Удалить";"Ջնջել"
"business.discounts.tiers.discountType";"Тип скидки";"Զեղչի տեսակ"
"business.discounts.tiers.edit";"Изменить";"Խմբագրել"
"business.discounts.tiers.empty";"Уровни не настроены";"Մակարդակներ դեռ չկան"
"business.discounts.tiers.fixed";"Фикс. сумма";"Ֆիքս գումար"
"business.discounts.tiers.maxBookingsHelp";"Обычно оставьте пустым: уровень остаётся при любом числе бронирований выше порога, пока не сработает уровень с более высоким порогом. Заполняйте, только если нужен жёсткий «потолок» для этого уровня.";"Սովորաբար դատարկ թողեք՝ մակարդակը գործում է շեմից բարձր մինչև ավելի բարձր մակարդակ։ Լրացրեք միայն եթե պետք է վերին սահման։"
"business.discounts.tiers.maxBookingsOptional";"До (бронирований, включительно)";"Մինչև (ամրագրումներ, ներառյալ)"
"business.discounts.tiers.minBookings";"Порог (бронирований, включительно)";"Շեմ (ամրագրումներ, ներառյալ)"
"business.discounts.tiers.minBookingsHelp";"Минимум учтённых бронирований, с которого действует уровень. Следующий уровень — с большим числом.";"Նվազագույն հաշվված ամրագրումներ այս մակարդակի համար։ Հաջորդ մակարդակները՝ ավելի բարձր թիվ։"
"business.discounts.tiers.name";"Название";"Անուն"
"business.discounts.tiers.percentage";"Процент";"Տոկոս"
"business.discounts.tiers.save";"Сохранить";"Պահել"
"business.discounts.tiers.sequenceHint";"Настраивайте уровни по возрастанию порога (сначала меньший, потом больший). Клиент получает один уровень — с наибольшим порогом среди тех, что он уже достиг. Поле «верхний предел» нужно редко; чаще оставляйте пустым.";"Ավելացրեք մակարդակները շեմի աճման կարգով (սկզբում փոքրը, հետո մեծը)։ Հաճախորդը ստանում է մեկ մակարդակ՝ ամենաբարձր հասած շեմը։ «Վերին սահմանը» հազվադեպ է պետք՝ դատարկ թողեք։"
"business.discounts.tiers.sortOrder";"Порядок";"Դասավորման կարգ"
"business.discounts.tiers.value";"Значение";"Արժեք"
"business.discounts.title";"Скидки и промокоды";"Զեղչեր և պրոմոկոդեր"
"business.reports.exportSalary";"Зарплата";"Աշխատավարձ"
"business.reports.salaryTitle";"Зарплата";"Աշխատավարձ"
"business.reports.selectPeriodDescription";"Укажите дату начала и дату окончания периода в фильтрах выше";"Նշեք սկիզբը և վերջը վերևի ֆիլտրերում"
"business.reports.selectPeriodTitle";"Выберите период для отображения отчетов";"Ընտրեք ժամանակահատված հաշվետվությունների համար"
"business.reviews.actions.delete";"Удалить";"Ջնջել"
"business.reviews.actions.reply";"Ответить";"Պատասխանել"
"business.reviews.columns.advertisement";"Объявление";"Հայտարարություն"
"business.reviews.columns.client";"Клиент";"Հաճախորդ"
"business.reviews.columns.comment";"Комментарий";"Մեկնաբանություն"
"business.reviews.columns.date";"Дата";"Ամսաթիվ"
"business.reviews.columns.rating";"Рейтинг";"Գնահատական"
"business.reviews.columns.status";"Статус";"Կարգավիճակ"
"business.reviews.description";"Управление отзывами клиентов";"Կառավարել հաճախորդների կարծիքները"
"business.reviews.noReviews";"Нет отзывов";"Կարծիքներ չկան"
"business.reviews.notifications.responseError";"Не удалось обновить ответ";"Հնարավոր չէր թարմացնել պատասխանը"
"business.reviews.notifications.responseUpdated";"Ответ успешно обновлён";"Պատասխանը հաջողությամբ թարմացվել է"
"business.reviews.responseModal.cancel";"Отмена";"Չեղարկել"
"business.reviews.responseModal.placeholder";"Напишите ваш ответ...";"Գրեք ձեր պատասխանը…"
"business.reviews.responseModal.reviewFrom";"Отзыв от";"Կարծիք՝"
"business.reviews.responseModal.save";"Сохранить";"Պահել"
"business.reviews.responseModal.title";"Ответить на отзыв";"Պատասխանել կարծիքին"
"business.reviews.responseModal.yourResponse";"Ваш ответ";"Ձեր պատասխանը"
"business.reviews.statuses.pending";"На модерации";"Սպասում"
"business.reviews.statuses.published";"Опубликован";"Հրապարակված"
"business.reviews.statuses.rejected";"Отклонен";"Մերժված"
"business.reviews.table.advertisement";"Объявление";"Հայտարարություն"
"business.reviews.table.anonymous";"Аноним";"Անանուն"
"business.reviews.table.date";"Дата";"Ամսաթիվ"
"business.reviews.table.editResponse";"Редактировать ответ";"Խմբագրել պատասխանը"
"business.reviews.table.noAd";"Нет объявления";"Հայտարարություն չկա"
"business.reviews.table.noReviews";"Пока нет отзывов";"Կարծիքներ դեռ չկան"
"business.reviews.table.open";"Открыть";"Բացել"
"business.reviews.table.rating";"Рейтинг";"Գնահատական"
"business.reviews.table.respond";"Ответить";"Պատասխանել"
"business.reviews.table.review";"Отзыв";"Կարծիք"
"business.reviews.table.service";"Услуга";"Ծառայություն"
"business.reviews.table.specialist";"Специалист";"Մասնագետ"
"business.reviews.table.user";"Пользователь";"Օգտատեր"
"business.reviews.table.yourResponse";"Ваш ответ";"Ձեր պատասխանը"
"business.reviews.title";"Отзывы";"Կարծիքներ"
"business.salary.calculate";"Рассчитать зарплату";"Հաշվարկել աշխատավարձ"
"business.salary.columns.bookings";"Бронирований";"Ամրագրումներ"
"business.salary.columns.hours";"Часов";"ժամ"
"business.salary.columns.period";"Период";"Ժամանակահատված"
"business.salary.columns.revenue";"Заработок";"Եկամուտ"
"business.salary.columns.salary";"Зарплата";"Աշխատավարձ"
"business.salary.columns.specialist";"Исполнитель";"Մասնագետ"
"business.salary.columns.status";"Статус";"Կարգավիճակ"
"business.salary.description";"Расчет и управление зарплатами";"Հաշվարկել և կառավարել աշխատավարձերը"
"business.salary.detailsBySpecialist";"Детализация по исполнителям";"Մանրամասներ ըստ մասնագետի"
"business.salary.loadError";"Ошибка загрузки отчета";"Հնարավոր չէր բեռնել հաշվետվությունը"
"business.salary.noSettingsDescription";"У некоторых специалистов не настроены параметры оплаты. Зарплата для них не рассчитывается. Нажмите на кнопку настройки рядом с именем специалиста.";"Որոշ մասնագետներ չունեն վճարման կարգավորում։ Աշխատավարձ չի հաշվարկվում։ Սեղմեք կարգավորման կոճակը անվան կողքին։"
"business.salary.noSettingsTooltip";"Не настроена оплата";"Վճարումը կարգավորված չէ"
"business.salary.noSettingsWarning";"Не настроена оплата";"Վճարումը կարգավորված չէ"
"business.salary.noSpecialistsData";"Нет данных по исполнителям за выбранный период";"Տվյալներ չկան մասնագետների համար ընտրված ժամանակահատվածում"
"business.salary.overview.averageSalary";"Средняя ЗП на исполнителя";"Միջին աշխատավարձ մեկ մասնագետի համար"
"business.salary.overview.paidSalary";"Выплачено";"Վճարված"
"business.salary.overview.pendingSalary";"К выплате";"Վճարել"
"business.salary.overview.specialists";"Исполнителей";"Մասնագետներ"
"business.salary.overview.totalSalary";"Общая сумма ЗП";"Ընդհանուր աշխատավարձ"
"business.salary.settingsTooltip";"Настроить оплату";"Կարգավորել վճարումը"
"business.salary.statuses.paid";"Выплачено";"Վճարված"
"business.salary.statuses.pending";"К выплате";"Վճարել"
"business.salary.title";"Зарплаты";"Աշխատավարձեր"
"business.salary.unassignedBookingsDescription";"{count} завершённых бронирований на сумму ${revenue} не имеют назначенного исполнителя и не учитываются в расчёте зарплаты.";"{count} ավարտված ամրագրումներ ընդհանուր ${revenue} չունեն նշված մասնագետ և չեն ներառվում աշխատավարձի հաշվարկներում։"
"business.salary.unassignedBookingsWarning";"Бронирования без исполнителя";"Ամրագրումներ առանց մասնագետի"
"business.salary.unknownError";"Неизвестная ошибка";"Անհայտ սխալ"
"business.salarySettings.errors.fixedAndPercentRequired";"Укажите фиксированную сумму и процентную ставку";"Մուտքագրեք ֆիքս գումար և տոկոս"
"business.salarySettings.errors.fixedRequired";"Укажите фиксированную сумму";"Մուտքագրեք ֆիքս գումար"
"business.salarySettings.errors.hourlyRequired";"Укажите почасовую ставку";"Մուտքագրեք ժամավճարը"
"business.salarySettings.errors.invalidSpecialist";"Неверный ID специалиста";"Անվավեր մասնագետի ID"
"business.salarySettings.errors.percentRequired";"Укажите процентную ставку";"Մուտքագրեք տոկոսը"
"business.salarySettings.labels.active";"Активна";"Ակտիվ"
"business.salarySettings.labels.effectiveFrom";"Дата начала действия";"Ուժի մեջ է՝"
"business.salarySettings.labels.effectiveTo";"Дата окончания действия (необязательно)";"Ուժի մեջ մինչև (ըստ ցանկության)"
"business.salarySettings.labels.fixedAmount";"Фиксированная сумма";"Ֆիքս գումար"
"business.salarySettings.labels.hourlyRate";"Почасовая ставка";"Ժամավճար"
"business.salarySettings.labels.paymentType";"Тип оплаты";"Վճարման տեսակ"
"business.salarySettings.labels.percentRate";"Процентная ставка (%)";"Տոկոսադրույք (%)"
"business.salarySettings.labels.settingActive";"Настройка активна";"Կարգավորումը ակտիվ է"
"business.salarySettings.loading";"Загрузка настроек...";"Բեռնվում են կարգավորումները…"
"business.salarySettings.paymentTypes.fixed";"Фиксированная ставка";"Ֆիքս տարա"
"business.salarySettings.paymentTypes.fixedPlusPercent";"Фикс + процент";"Ֆիքս + տոկոս"
"business.salarySettings.paymentTypes.hourly";"Почасовая оплата";"Ժամավճար"
"business.salarySettings.paymentTypes.percent";"Процент с бронирования";"Ամրագրման տոկոս"
"business.salarySettings.placeholders.fixed";"Например, 1000";"օր.՝ 1000"
"business.salarySettings.placeholders.hourly";"Например, 25";"օր.՝ 25"
"business.salarySettings.placeholders.percent";"Например, 15";"օր.՝ 15"
"business.salarySettings.saveError";"Не удалось сохранить настройки оплаты";"Հնարավոր չէր պահել վճարման կարգավորումները"
"business.salarySettings.saveSuccess";"Настройки оплаты успешно сохранены";"Վճարման կարգավորումները հաջողությամբ պահվել են"
"business.salarySettings.title";"Настройка оплаты";"Վճարման կարգավորումներ"
"business.schedule.deleteConfirm.cancel";"Отмена";"Չեղարկել"
"business.schedule.deleteConfirm.confirm";"Удалить";"Ջնջել"
"business.schedule.deleteConfirm.message";"Вы уверены, что хотите удалить это бронирование?";"Վստա՞հ եք, որ ցանկանում եք ջնջել այս ամրագրումը"
"business.schedule.deleteConfirm.title";"Удалить бронирование?";"Ջնջե՞լ ամրագրումը"
"business.schedule.description";"Управление бронированиями и доступностью";"Կառավարել ամրագրումները և հասանելիությունը"
"business.schedule.modal.buttons.cancel";"Отмена";"Չեղարկել"
"business.schedule.modal.buttons.close";"Закрыть";"Փակել"
"business.schedule.modal.buttons.delete";"Удалить";"Ջնջել"
"business.schedule.modal.buttons.save";"Сохранить";"Պահել"
"business.schedule.modal.client.createNew";"Создать нового клиента";"Ստեղծել նոր հաճախորդ"
"business.schedule.modal.client.email";"Email";"Էլ. փոստ"
"business.schedule.modal.client.enterManually";"Ввести вручную";"Մուտքագրել ձեռքով"
"business.schedule.modal.client.name";"Имя клиента";"Հաճախորդի անուն"
"business.schedule.modal.client.phone";"Телефон";"Հեռախոս"
"business.schedule.modal.client.selectClient";"Выберите клиента";"Ընտրեք հաճախորդ"
"business.schedule.modal.client.selectFromExisting";"Выбрать из существующих";"Ընտրել առկայից"
"business.schedule.modal.editBooking";"Редактировать бронирование";"Խմբագրել ամրագրումը"
"business.schedule.modal.labels.address";"Адрес";"Հասցե"
"business.schedule.modal.labels.addressPlaceholder";"Введите адрес";"Մուտքագրեք հասցեն"
"business.schedule.modal.labels.basePriceNote";"Базовая цена: {price} + дополнительные услуги";"Հիմնական գին՝ {price} + լրացուցիչ ծառայություններ"
"business.schedule.modal.labels.baseServicePrice";"Базовая стоимость услуги";"Հիմնական ծառայության գին"
"business.schedule.modal.labels.city";"Город";"Քաղաք"
"business.schedule.modal.labels.client";"Клиент";"Հաճախորդ"
"business.schedule.modal.labels.clientAddress";"Адрес клиента";"Հաճախորդի հասցե"
"business.schedule.modal.labels.customEvent";"Произвольное событие";"Պատվերով իրադարձություն"
"business.schedule.modal.labels.date";"Дата";"Ամսաթիվ"
"business.schedule.modal.labels.discount";"Скидка";"Զեղչ"
"business.schedule.modal.labels.discountLoyalty";"Лояльность ({tier})";"Հավատարմություն ({tier})"
"business.schedule.modal.labels.discountPromo";"Промокод {code}";"Պրոմո {code}"
"business.schedule.modal.labels.duration";"Длительность (минуты)";"Տևողություն (րոպե)"
"business.schedule.modal.labels.eventType";"Тип события";"Իրադարձության տեսակ"
"business.schedule.modal.labels.executionType";"Тип исполнения";"Կատարման տեսակ"
"business.schedule.modal.labels.executionTypeOffsite";"Выезд к клиенту";"Բջջային ծառայություն"
"business.schedule.modal.labels.executionTypeOnsite";"Клиент приходит сам";"Հաճախորդը գալիս է"
"business.schedule.modal.labels.notes";"Примечания";"Նշումներ"
"business.schedule.modal.labels.notesPlaceholder";"Внутренние примечания к бронированию";"Ամրագրման ներքին նշումներ"
"business.schedule.modal.labels.price";"Цена";"Գին"
"business.schedule.modal.labels.service";"Услуга";"Ծառայություն"
"business.schedule.modal.labels.specialist";"Исполнитель";"Մասնագետ"
"business.schedule.modal.labels.state";"Штат";"Նահանգ"
"business.schedule.modal.labels.status";"Статус";"Կարգավիճակ"
"business.schedule.modal.labels.subtotal";"Промежуточная сумма (до скидки)";"Ենթագումար (զեղչից առաջ)"
"business.schedule.modal.labels.time";"Время";"Ժամ"
"business.schedule.modal.labels.title";"Название события";"Իրադարձության վերնագիր"
"business.schedule.modal.labels.titlePlaceholder";"Введите название события";"Մուտքագրեք իրադարձության վերնագիրը"
"business.schedule.modal.labels.total";"Итого:";"Ընդհանուր՝"
"business.schedule.modal.labels.zip";"Почтовый индекс";"Փոստային ինդեքս"
"business.schedule.modal.newBooking";"Новое бронирование";"Նոր ամրագրում"
"business.schedule.modal.notSpecified";"Не указан";"Չի նշված"
"business.schedule.modal.reviewLink.copied";"Скопировано";"Պատճենվել է"
"business.schedule.modal.reviewLink.copy";"Копировать";"Պատճենել"
"business.schedule.modal.reviewLink.copyError";"Не удалось скопировать ссылку. Скопируйте вручную.";"Հնարավոր չէր պատճենել հղումը։ Պատճենեք ձեռքով։"
"business.schedule.modal.reviewLink.linkCopied";"Ссылка скопирована в буфер обмена";"Հղումը պատճենվել է"
"business.schedule.modal.reviewLink.sendToClient";"Отправьте эту ссылку клиенту для оставления отзыва";"Ուղարկեք այս հղումը հաճախորդին՝ կարծիք թողնելու համար"
"business.schedule.modal.reviewLink.title";"Ссылка на отзыв для клиента:";"Կարծիքի հղում հաճախորդի համար՝"
"business.schedule.modal.selectService";"Выберите услугу";"Ընտրեք ծառայությունը"
"business.schedule.modal.selectSpecialist";"Выберите исполнителя";"Ընտրեք մասնագետին"
"business.schedule.modal.timeOverlapDescription";"Проверьте расписание перед сохранением. Возможно, потребуется выбрать другое время.";"Պահպանելուց առաջ ստուգեք ժամանակացույցը։ Հնարավոր է՝ ընտրեք այլ ժամ։"
"business.schedule.modal.timeOverlapWarning";"Внимание: Выбранное время пересекается с существующим бронированием";"Զգուշացում՝ ընտրված ժամը համընկնում է գոյություն ունեցող ամրագրման հետ"
"business.schedule.modal.titleRequired";"Укажите название события";"Մուտքագրեք իրադարձության վերնագիր"
"business.schedule.newBooking";"Новое бронирование";"Նոր ամրագրում"
"business.schedule.notifications.bookingCompletedReviewLink";"Бронирование завершено. Ссылка на отзыв сгенерирована.";"Ամրագրումն ավարտված է։ Կարծիքի հղումը ստեղծվել է։"
"business.schedule.notifications.bookingCreated";"Бронирование успешно создано";"Ամրագրումը հաջողությամբ ստեղծվել է"
"business.schedule.notifications.bookingDeleted";"Бронирование успешно удалено";"Ամրագրումը հաջողությամբ ջնջվել է"
"business.schedule.notifications.bookingUpdated";"Бронирование успешно обновлено";"Ամրագրումը հաջողությամբ թարմացվել է"
"business.schedule.notifications.changeTimeOrDate";"Измените время или дату в форме.";"Փոխեք ժամը կամ ամսաթիվը ձևում։"
"business.schedule.notifications.createError";"Не удалось создать бронирование";"Հնարավոր չէր ստեղծել ամրագրում"
"business.schedule.notifications.deleteError";"Не удалось удалить бронирование";"Հնարավոր չէր ջնջել ամրագրումը"
"business.schedule.notifications.error";"Ошибка";"Սխալ"
"business.schedule.notifications.slotOccupied";"Выбранное время занято";"Ընտրված ժամը զբաղված է"
"business.schedule.notifications.timeOverlap";"Выбранное время пересекается с существующим бронированием. Проверьте расписание.";"Ընտրված ժամը համընկնում է գոյություն ունեցող ամրագրման հետ։ Ստուգեք ժամանակացույցը։"
"business.schedule.notifications.updateError";"Не удалось обновить бронирование";"Հնարավոր չէր թարմացնել ամրագրումը"
"business.schedule.recurring.and";"и";"և"
"business.schedule.recurring.client";"Клиент";"Հաճախորդ"
"business.schedule.recurring.clientEmail";"Email";"Էլ. փոստ"
"business.schedule.recurring.clientName";"Имя клиента";"Հաճախորդի անուն"
"business.schedule.recurring.clientPhone";"Телефон";"Հեռախոս"
"business.schedule.recurring.clientSection";"Клиент";"Հաճախորդ"
"business.schedule.recurring.create";"Создать";"Ստեղծել"
"business.schedule.recurring.createDescription";"Настройте автоматические повторяющиеся бронирования";"Կարգավորել ավտոմատ կրկնվող ամրագրումներ"
"business.schedule.recurring.createError";"Не удалось создать регулярное бронирование";"Հնարավոր չէր ստեղծել կրկնվող ամրագրում"
"business.schedule.recurring.createNewClient";"Создать нового клиента";"Ստեղծել նոր հաճախորդ"
"business.schedule.recurring.created";"Регулярное бронирование успешно создано";"Կրկնվող ամրագրումը հաջողությամբ ստեղծվել է"
"business.schedule.recurring.day";"Число";"Օր"
"business.schedule.recurring.dayOfMonth";"Число месяца";"Ամսվա օր"
"business.schedule.recurring.dayOfMonthRequired";"Пожалуйста, выберите число месяца";"Ընտրեք ամսվա օրը"
"business.schedule.recurring.days.friday";"Пятница";"Ուրբաթ"
"business.schedule.recurring.days.monday";"Понедельник";"Երկուշաբթի"
"business.schedule.recurring.days.saturday";"Суббота";"Շաբաթ"
"business.schedule.recurring.days.sunday";"Воскресенье";"Կիրակի"
"business.schedule.recurring.days.thursday";"Четверг";"Հինգշաբթի"
"business.schedule.recurring.days.tuesday";"Вторник";"Երեքշաբթի"
"business.schedule.recurring.days.wednesday";"Среда";"Չորեքշաբթի"
"business.schedule.recurring.daysOfMonth";"Числа месяца";"Ամսվա օրեր"
"business.schedule.recurring.daysOfMonthRequired";"Пожалуйста, выберите два числа месяца";"Ընտրեք ամսվա երկու օր"
"business.schedule.recurring.daysOfWeek";"Дни недели";"Շաբաթվա օրեր"
"business.schedule.recurring.daysOfWeekRequired";"Пожалуйста, выберите дни недели";"Ընտրեք շաբաթվա օրերը"
"business.schedule.recurring.deleteConfirm.cancel";"Отмена";"Չեղարկել"
"business.schedule.recurring.deleteConfirm.confirm";"Удалить";"Ջնջել"
"business.schedule.recurring.deleteConfirm.message";"Вы уверены, что хотите удалить эту цепочку регулярных бронирований? Все будущие бронирования будут удалены.";"Վստա՞հ եք, որ ցանկանում եք ջնջել կրկնվող ամրագրման շղթան։ Բոլոր ապագա ամրագրումները կջնջվեն։"
