"key";"ru";"es-MX"
"business.schedule.modal.titleRequired";"Укажите название события";"Ingresa el título del evento"
"business.schedule.newBooking";"Новое бронирование";"Nueva reserva"
"business.schedule.notifications.bookingCompletedReviewLink";"Бронирование завершено. Ссылка на отзыв сгенерирована.";"Reserva completada. Se generó el enlace de reseña."
"business.schedule.notifications.bookingCreated";"Бронирование успешно создано";"Reserva creada correctamente"
"business.schedule.notifications.bookingDeleted";"Бронирование успешно удалено";"Reserva eliminada correctamente"
"business.schedule.notifications.bookingUpdated";"Бронирование успешно обновлено";"Reserva actualizada correctamente"
"business.schedule.notifications.changeTimeOrDate";"Измените время или дату в форме.";"Cambia la hora o la fecha en el formulario."
"business.schedule.notifications.createError";"Не удалось создать бронирование";"No se pudo crear la reserva"
"business.schedule.notifications.deleteError";"Не удалось удалить бронирование";"No se pudo eliminar la reserva"
"business.schedule.notifications.error";"Ошибка";"Error"
"business.schedule.notifications.slotOccupied";"Выбранное время занято";"El horario seleccionado está ocupado"
"business.schedule.notifications.timeOverlap";"Выбранное время пересекается с существующим бронированием. Проверьте расписание.";"El horario seleccionado se traslapa con otra reserva. Revisa la agenda."
"business.schedule.notifications.updateError";"Не удалось обновить бронирование";"No se pudo actualizar la reserva"
"business.schedule.recurring.and";"и";"y"
"business.schedule.recurring.client";"Клиент";"Cliente"
"business.schedule.recurring.clientEmail";"Email";"Correo"
"business.schedule.recurring.clientName";"Имя клиента";"Nombre del cliente"
"business.schedule.recurring.clientPhone";"Телефон";"Teléfono"
"business.schedule.recurring.clientSection";"Клиент";"Cliente"
"business.schedule.recurring.create";"Создать";"Crear"
"business.schedule.recurring.createDescription";"Настройте автоматические повторяющиеся бронирования";"Configura reservas recurrentes automáticas"
"business.schedule.recurring.createError";"Не удалось создать регулярное бронирование";"No se pudo crear la reserva recurrente"
"business.schedule.recurring.createNewClient";"Создать нового клиента";"Crear cliente nuevo"
"business.schedule.recurring.created";"Регулярное бронирование успешно создано";"Reserva recurrente creada correctamente"
"business.schedule.recurring.day";"Число";"Día"
"business.schedule.recurring.dayOfMonth";"Число месяца";"Día del mes"
"business.schedule.recurring.dayOfMonthRequired";"Пожалуйста, выберите число месяца";"Selecciona el día del mes"
"business.schedule.recurring.days.friday";"Пятница";"Viernes"
"business.schedule.recurring.days.monday";"Понедельник";"Lunes"
"business.schedule.recurring.days.saturday";"Суббота";"Sábado"
"business.schedule.recurring.days.sunday";"Воскресенье";"Domingo"
"business.schedule.recurring.days.thursday";"Четверг";"Jueves"
"business.schedule.recurring.days.tuesday";"Вторник";"Martes"
"business.schedule.recurring.days.wednesday";"Среда";"Miércoles"
"business.schedule.recurring.daysOfMonth";"Числа месяца";"Días del mes"
"business.schedule.recurring.daysOfMonthRequired";"Пожалуйста, выберите два числа месяца";"Selecciona dos días del mes"
"business.schedule.recurring.daysOfWeek";"Дни недели";"Días de la semana"
"business.schedule.recurring.daysOfWeekRequired";"Пожалуйста, выберите дни недели";"Selecciona los días de la semana"
"business.schedule.recurring.deleteConfirm.cancel";"Отмена";"Cancelar"
"business.schedule.recurring.deleteConfirm.confirm";"Удалить";"Eliminar"
"business.schedule.recurring.deleteConfirm.message";"Вы уверены, что хотите удалить эту цепочку регулярных бронирований? Все будущие бронирования будут удалены.";"¿Seguro que quieres eliminar esta cadena? Se eliminarán todas las reservas futuras."
"business.schedule.recurring.deleteConfirm.title";"Удалить регулярное бронирование?";"¿Eliminar reserva recurrente?"
"business.schedule.recurring.deleteError";"Не удалось удалить регулярное бронирование";"No se pudo eliminar la reserva recurrente"
"business.schedule.recurring.deleted";"Регулярное бронирование успешно удалено";"Reserva recurrente eliminada correctamente"
"business.schedule.recurring.duration";"Длительность";"Duración"
"business.schedule.recurring.durationInMinutes";"Длительность в минутах";"Duración en minutos"
"business.schedule.recurring.edit";"Редактировать регулярное бронирование";"Editar reserva recurrente"
"business.schedule.recurring.editDescription";"Измените настройки регулярного бронирования";"Modifica la configuración de la reserva recurrente"
"business.schedule.recurring.endDate";"Дата окончания";"Fecha de fin"
"business.schedule.recurring.endDateOptional";"Оставьте пустым для бессрочного";"Déjala vacía para indefinido"
"business.schedule.recurring.enterManually";"Ввести вручную";"Ingresar manualmente"
"business.schedule.recurring.frequencies.bimonthly";"2 раза в месяц";"Dos veces al mes"
"business.schedule.recurring.frequencies.biweekly";"2 раза в неделю";"Dos veces por semana"
"business.schedule.recurring.frequencies.daily";"Ежедневно";"Diaria"
"business.schedule.recurring.frequencies.every_2_months";"Каждые 2 месяца";"Cada 2 meses"
"business.schedule.recurring.frequencies.every_2_weeks";"Каждые 2 недели";"Cada 2 semanas"
"business.schedule.recurring.frequencies.every_3_months";"Каждые 3 месяца";"Cada 3 meses"
"business.schedule.recurring.frequencies.every_3_weeks";"Каждые 3 недели";"Cada 3 semanas"
"business.schedule.recurring.frequencies.every_n_days";"Каждые N дней";"Cada N días"
"business.schedule.recurring.frequencies.monthly";"Раз в месяц";"Una vez al mes"
"business.schedule.recurring.frequencies.weekly";"Раз в неделю";"Una vez por semana"
"business.schedule.recurring.frequency";"Частота повторения";"Frecuencia"
"business.schedule.recurring.frequencyDetails";"Детали частоты";"Detalles de frecuencia"
"business.schedule.recurring.frequencySection";"Частота повторения";"Frecuencia de repetición"
"business.schedule.recurring.indefinitely";"бессрочно";"indefinidamente"
"business.schedule.recurring.intervalDays";"Интервал (дни)";"Intervalo (días)"
"business.schedule.recurring.intervalDaysHint";"Бронирование будет повторяться каждые N дней";"La reserva se repetirá cada N días"
"business.schedule.recurring.intervalDaysPlaceholder";"Введите количество дней";"Ingresa el número de días"
"business.schedule.recurring.intervalDaysRequired";"Пожалуйста, укажите интервал в днях";"Ingresa el intervalo en días"
"business.schedule.recurring.list";"Список";"Lista"
"business.schedule.recurring.listDescription";"Управляйте цепочками регулярных бронирований";"Administra tus cadenas de reservas recurrentes"
"business.schedule.recurring.noChains";"Нет регулярных бронирований";"Sin reservas recurrentes"
"business.schedule.recurring.noChainsDescription";"Создайте свою первую цепочку регулярных бронирований";"Crea tu primera cadena de reservas recurrentes"
"business.schedule.recurring.notSpecified";"Не указан";"Sin especificar"
"business.schedule.recurring.notes";"Примечания";"Notas"
"business.schedule.recurring.notesPlaceholder";"Внутренние примечания";"Notas internas"
"business.schedule.recurring.period";"Период";"Período"
"business.schedule.recurring.price";"Цена";"Precio"
"business.schedule.recurring.priceSection";"Цена и примечания";"Precio y notas"
"business.schedule.recurring.regenerate";"Пересоздать";"Regenerar"
"business.schedule.recurring.regenerateError";"Не удалось пересоздать бронирования";"No se pudieron regenerar las reservas"
"business.schedule.recurring.regenerated";"Бронирования успешно пересозданы";"Reservas regeneradas correctamente"
"business.schedule.recurring.selectClient";"Выбрать клиента";"Seleccionar cliente"
"business.schedule.recurring.selectDayOfMonth";"Выберите число месяца";"Selecciona el día del mes"
"business.schedule.recurring.selectDaysOfMonth";"Выберите два числа месяца";"Selecciona dos días del mes"
"business.schedule.recurring.selectDaysOfWeek";"Выберите дни недели";"Selecciona los días de la semana"
"business.schedule.recurring.selectService";"Выберите услугу";"Seleccionar servicio"
"business.schedule.recurring.selectSpecialist";"Выбрать исполнителя";"Seleccionar especialista"
"business.schedule.recurring.selectTime";"Выберите время";"Seleccionar hora"
"business.schedule.recurring.selectTwoDays";"Выберите ровно два числа";"Selecciona exactamente dos días"
"business.schedule.recurring.service";"Услуга";"Servicio"
"business.schedule.recurring.serviceSection";"Услуга и исполнитель";"Servicio y especialista"
"business.schedule.recurring.specialist";"Исполнитель";"Especialista"
"business.schedule.recurring.startDate";"Дата начала";"Fecha de inicio"
"business.schedule.recurring.statuses.active";"Активно";"Activa"
"business.schedule.recurring.statuses.cancelled";"Отменено";"Cancelada"
"business.schedule.recurring.statuses.paused";"Приостановлено";"En pausa"
"business.schedule.recurring.time";"Время";"Hora"
"business.schedule.recurring.timeSection";"Время и длительность";"Hora y duración"
"business.schedule.recurring.upcomingBookings";"Ближайшие бронирования";"Próximas reservas"
"business.schedule.recurring.updateError";"Не удалось обновить регулярное бронирование";"No se pudo actualizar la reserva recurrente"
"business.schedule.recurring.updated";"Регулярное бронирование успешно обновлено";"Reserva recurrente actualizada correctamente"
"business.schedule.recurringBookings";"Регулярные бронирования";"Reservas recurrentes"
"business.schedule.stats.completed";"Завершено";"Completadas"
"business.schedule.stats.inProgress";"В работе";"En curso"
"business.schedule.stats.modeCalendarMonth";"Календарный месяц";"Mes calendario"
"business.schedule.stats.modeVisibleRange";"Видимый период";"Rango visible"
"business.schedule.stats.periodGridNote";"Интервал совпадает с видимой сеткой календаря (в т.ч. дни соседних месяцев). Название месяца в шапке — для навигации, не граница сумм.";"El rango coincide con la cuadrícula visible del calendario (incluye días de meses adyacentes). El título del mes es para navegación, no delimita la suma."
"business.schedule.stats.periodGridNoteMonth";"Только бронирования текущего календарного месяца (с 1-го по последний день). Суммы — по total записи.";"Solo reservas del mes calendario actual (del 1 al último día). Los importes usan el total de cada cita."
"business.schedule.stats.periodHint";"Видимый период календаря. Суммы — по total записи (как в карточке брони). «Без отмен» — все статусы, кроме отменённых.";"Rango visible del calendario. Los montos usan el total de cada franja. «Sin canceladas» = todos los estados excepto cancelado."
"business.schedule.stats.periodRangeLabel";"Суммы за интервал: {start} — {end}";"Sumas del rango: {start} — {end}"
"business.schedule.stats.revenue";"Доход";"Ingresos"
"business.schedule.stats.statsModeLabel";"Статистика";"Estadísticas"
"business.schedule.stats.sumCompleted";"Сумма завершённых";"Suma completadas"
"business.schedule.stats.sumExcludingCancelled";"Сумма без отмен";"Suma sin canceladas"
"business.schedule.stats.total";"Всего";"Total"
"business.schedule.statuses.cancelled";"Отменено";"Cancelada"
"business.schedule.statuses.completed";"Завершено";"Completada"
"business.schedule.statuses.confirmed";"Подтверждено";"Confirmada"
"business.schedule.statuses.new";"Новый";"Nueva"
"business.schedule.statuses.pending";"Ожидает";"Pendiente"
"business.schedule.title";"Расписание";"Agenda"
"business.settings.advertisementsLink";"Объявления";"Anuncios"
"business.settings.description";"Настройки бизнеса";"Configuración del negocio"
"business.settings.marketplace.advertisements.columns.actions";"Действия";"Acciones"
"business.settings.marketplace.advertisements.columns.createdAt";"Дата создания";"Creado"
"business.settings.marketplace.advertisements.columns.placement";"Размещение";"Ubicación"
"business.settings.marketplace.advertisements.columns.status";"Статус";"Estado"
"business.settings.marketplace.advertisements.columns.title";"Название";"Título"
"business.settings.marketplace.advertisements.columns.type";"Тип";"Tipo"
"business.settings.marketplace.advertisements.createAd";"Создать объявление";"Crear anuncio"
"business.settings.marketplace.advertisements.delete";"Удалить";"Eliminar"
"business.settings.marketplace.advertisements.deleteConfirm.message";"Вы уверены, что хотите удалить объявление ""{title}""? Это действие нельзя отменить.";"¿Seguro que quieres eliminar el anuncio «{title}»? Esta acción no se puede deshacer."
"business.settings.marketplace.advertisements.deleteConfirm.title";"Удалить объявление?";"¿Eliminar anuncio?"
"business.settings.marketplace.advertisements.edit";"Редактировать";"Editar"
"business.settings.marketplace.advertisements.noAds";"У вас пока нет объявлений";"Aún no tienes anuncios"
"business.settings.marketplace.advertisements.noAdsHint";"Создайте первое объявление для продвижения вашего бизнеса";"Crea tu primer anuncio para promocionar tu negocio"
"business.settings.marketplace.advertisements.statuses.active";"Активно";"Activo"
"business.settings.marketplace.advertisements.statuses.approved";"Одобрено";"Aprobado"
"business.settings.marketplace.advertisements.statuses.inactive";"Неактивно";"Inactivo"
"business.settings.marketplace.advertisements.statuses.pending";"На модерации";"Pendiente"
"business.settings.marketplace.advertisements.statuses.rejected";"Отклонено";"Rechazado"
"business.settings.marketplace.advertisements.title";"Мои объявления";"Mis anuncios"
"business.settings.marketplace.advertisements.types.advertisement";"Рекламный";"Publicidad"
"business.settings.marketplace.advertisements.types.regular";"Обычный";"Regular"
"business.settings.marketplace.advertising.showInFeatured";"Показывать в разделе ""Рекомендуемые""";"Mostrar en la sección «Recomendados»"
"business.settings.marketplace.advertising.showInFeaturedHint";"Ваш бизнес будет отображаться в блоке рекомендуемых услуг на главной странице";"Tu negocio aparecerá entre los servicios recomendados en el inicio"
"business.settings.marketplace.advertising.title";"Продвижение";"Promoción"
"business.settings.marketplace.advertising.tooltip";"Настройки показа вашего бизнеса в рекомендациях";"Ajustes para mostrar tu negocio en recomendaciones"
"business.settings.marketplace.content.showPortfolio";"Показывать портфолио";"Mostrar portafolio"
"business.settings.marketplace.content.showReviews";"Показывать отзывы";"Mostrar reseñas"
"business.settings.marketplace.content.title";"Отображение контента";"Mostrar contenido"
"business.settings.marketplace.description";"Видимость и настройки маркетплейса";"Visibilidad y ajustes en el marketplace"
"business.settings.marketplace.notifications.adDeleteError";"Не удалось удалить объявление";"No se pudo eliminar el anuncio"
"business.settings.marketplace.notifications.adDeleted";"Объявление успешно удалено";"Anuncio eliminado correctamente"
"business.settings.marketplace.notifications.saveError";"Не удалось сохранить настройки";"No se pudo guardar la configuración"
"business.settings.marketplace.notifications.saved";"Настройки маркетплейса успешно сохранены";"Configuración del marketplace guardada"
"business.settings.marketplace.seo.metaKeywords";"Мета-ключевые слова";"Meta palabras clave"
"business.settings.marketplace.seo.metaKeywordsPlaceholder";"Ключевые слова через запятую";"Palabras separadas por comas"
"business.settings.marketplace.seo.seoDescription";"SEO описание";"Descripción SEO"
"business.settings.marketplace.seo.seoDescriptionHint";"Рекомендуемая длина: 150-160 символов";"Longitud recomendada: 150–160 caracteres"
"business.settings.marketplace.seo.seoDescriptionPlaceholder";"Описание для поисковых систем";"Descripción para buscadores"
"business.settings.marketplace.seo.seoTitle";"SEO заголовок";"Título SEO"
"business.settings.marketplace.seo.seoTitleHint";"Рекомендуемая длина: 50-60 символов";"Longitud recomendada: 50–60 caracteres"
"business.settings.marketplace.seo.seoTitlePlaceholder";"Заголовок для поисковых систем";"Título para buscadores"
"business.settings.marketplace.seo.title";"SEO настройки";"SEO"
"business.settings.marketplace.title";"Маркетплейс";"Marketplace"
"business.settings.marketplace.visibility.allowBooking";"Разрешить онлайн-бронирование";"Permitir reserva en línea"
"business.settings.marketplace.visibility.hidden";"Скрыт";"Oculto"
"business.settings.marketplace.visibility.showInSearch";"Отображать в поиске";"Mostrar en búsqueda"
"business.settings.marketplace.visibility.title";"Видимость на маркетплейсе";"Visibilidad en el marketplace"
"business.settings.marketplace.visibility.tooltip";"Управление видимостью вашего бизнеса на платформе";"Administra la visibilidad de tu negocio en la plataforma"
"business.settings.marketplace.visibility.visible";"Видим";"Visible"
"business.settings.marketplace.visibility.visibleHint";"Если выключено, ваш бизнес не будет отображаться в каталоге";"Si está desactivado, tu negocio no aparecerá en el catálogo"
"business.settings.marketplace.visibility.visibleOnMarketplace";"Видим на маркетплейсе";"Visible en el marketplace"
"business.settings.notifications.cancellationsNotifications";"Уведомления об отменах";"Notificaciones de cancelaciones"
"business.settings.notifications.description";"Настройки email и SMS уведомлений";"Configuración de notificaciones por correo y SMS"
"business.settings.notifications.emailNotifications";"Email уведомления";"Notificaciones por correo"
"business.settings.notifications.newBookingsNotifications";"Уведомления о новых бронированиях";"Notificaciones de reservas nuevas"
"business.settings.notifications.notifications.saveError";"Не удалось сохранить настройки";"No se pudo guardar la configuración"
"business.settings.notifications.notifications.saved";"Настройки уведомлений успешно сохранены";"Configuración de notificaciones guardada"
"business.settings.notifications.paymentsNotifications";"Уведомления о платежах";"Notificaciones de pagos"
"business.settings.notifications.reviewsNotifications";"Уведомления об отзывах";"Notificaciones de reseñas"
"business.settings.notifications.smsNotifications";"SMS уведомления";"Notificaciones por SMS"
"business.settings.notifications.title";"Уведомления";"Notificaciones"
"business.settings.payments.connectStripe";"Подключить Stripe";"Conectar Stripe"
"business.settings.payments.description";"Подключение Stripe и настройки платежей";"Conecta Stripe y la configuración de pagos"
"business.settings.payments.settingsHere";"Настройки платежей будут здесь";"Aquí irá la configuración de pagos"
"business.settings.payments.stripeManagement";"Подключение Stripe и управление платежами";"Conecta Stripe y administra los pagos"
"business.settings.payments.title";"Платежи";"Pagos"
"business.settings.portfolio.deleteConfirm.confirm";"Удалить";"Eliminar"
"business.settings.portfolio.deleteConfirm.message";"Вы уверены, что хотите удалить эту работу?";"¿Seguro que quieres eliminar este trabajo?"
"business.settings.portfolio.deleteConfirm.title";"Удалить работу?";"¿Eliminar trabajo?"
"business.settings.portfolio.description";"Загрузка и управление работами";"Sube y administra tu trabajo"
"business.settings.portfolio.form.category";"Категория";"Categoría"
"business.settings.portfolio.form.categoryPlaceholder";"Например: Стрижки";"p. ej.: cortes"
"business.settings.portfolio.form.image";"Изображение";"Imagen"
"business.settings.portfolio.form.imageHint";"Рекомендуемый размер: 800x800px";"Tamaño recomendado: 800×800 px"
"business.settings.portfolio.form.title";"Загрузить работу";"Subir trabajo"
"business.settings.portfolio.form.upload";"Загрузить";"Subir"
"business.settings.portfolio.form.workTitle";"Название работы";"Título del trabajo"
"business.settings.portfolio.form.workTitlePlaceholder";"Например: Стрижка мужская";"p. ej.: corte caballero"
"business.settings.portfolio.noWorks";"Нет загруженных работ";"No hay trabajos subidos"
"business.settings.portfolio.noWorksHint";"Загрузите работы, чтобы показать их клиентам";"Sube trabajos para mostrarlos a los clientes"
"business.settings.portfolio.notifications.createError";"Не удалось добавить работу";"No se pudo agregar el trabajo"
"business.settings.portfolio.notifications.created";"Работа успешно добавлена";"Trabajo agregado correctamente"
"business.settings.portfolio.notifications.deleteError";"Не удалось удалить работу";"No se pudo eliminar el trabajo"
"business.settings.portfolio.notifications.deleted";"Работа успешно удалена";"Trabajo eliminado correctamente"
"business.settings.portfolio.notifications.selectImage";"Пожалуйста, выберите изображение";"Selecciona una imagen"
"business.settings.portfolio.title";"Портфолио";"Portafolio"
"business.settings.portfolio.uploadWork";"Загрузить работу";"Subir trabajo"
"business.settings.profile.address";"Адрес";"Dirección"
"business.settings.profile.avatarError";"Не удалось загрузить аватар";"No se pudo subir el avatar"
"business.settings.profile.avatarSuccess";"Аватар успешно загружен";"Avatar subido correctamente"
"business.settings.profile.businessName";"Название бизнеса";"Nombre del negocio"
"business.settings.profile.cancel";"Отмена";"Cancelar"
"business.settings.profile.category";"Категория";"Categoría"
"business.settings.profile.companyName";"Название бизнеса";"Nombre del negocio"
"business.settings.profile.describeYourBusiness";"Опишите ваш бизнес";"Describe tu negocio"
"business.settings.profile.description";"Описание";"Descripción"
"business.settings.profile.email";"Email";"Correo"
"business.settings.profile.emailPlaceholder";"email@example.com";"correo@ejemplo.com"
"business.settings.profile.enterAddress";"Введите адрес";"Ingresa la dirección"
"business.settings.profile.enterName";"Введите название";"Ingresa el nombre"
"business.settings.profile.error";"Не удалось обновить профиль";"No se pudo actualizar el perfil"
"business.settings.profile.logo";"Логотип";"Logo"
"business.settings.profile.openProfile";"Открыть профиль";"Abrir perfil"
"business.settings.profile.phone";"Телефон";"Teléfono"
"business.settings.profile.phonePlaceholder";"+7 (999) 123-45-67";"+1 (555) 123-4567"
"business.settings.profile.publicProfile";"Публичный профиль";"Perfil público"
"business.settings.profile.recommendedSize";"Рекомендуемый размер: 400x400px";"Tamaño recomendado: 400×400 px"
"business.settings.profile.save";"Сохранить";"Guardar"
"business.settings.profile.success";"Профиль успешно обновлен";"Perfil actualizado correctamente"
"business.settings.profile.telegram";"Telegram";"Telegram"
"business.settings.profile.telegramPlaceholder";"@username или username";"@usuario o usuario"
"business.settings.profile.title";"Профиль бизнеса";"Perfil del negocio"
"business.settings.profile.uploadPhoto";"Загрузить фото";"Subir foto"
"business.settings.profile.viewOnPlatform";"Просмотр вашего бизнеса на платформе";"Ve tu negocio en la plataforma"
"business.settings.profile.website";"Веб-сайт";"Sitio web"
"business.settings.profile.websitePlaceholder";"https://example.com";"https://ejemplo.com"
"business.settings.profile.whatsapp";"WhatsApp";"WhatsApp"
"business.settings.profile.whatsappPlaceholder";"+1234567890";"+1234567890"
"business.settings.roles.add";"Создать роль";"Crear rol"
"business.settings.roles.createSuccess";"Роль создана";"Rol creado"
"business.settings.roles.customRoles";"Кастомные роли";"Roles personalizados"
"business.settings.roles.deleteConfirm.confirm";"Удалить";"Eliminar"
"business.settings.roles.deleteConfirm.message";"Вы уверены, что хотите удалить роль ""{name}""?";"¿Seguro que quieres eliminar el rol «{name}»?"
"business.settings.roles.deleteConfirm.title";"Удалить роль?";"¿Eliminar rol?"
"business.settings.roles.deleteSuccess";"Роль удалена";"Rol eliminado"
"business.settings.roles.description";"Стандартные и кастомные роли с разрешениями";"Roles estándar y personalizados con permisos"
"business.settings.roles.editRole";"Редактировать роль";"Editar rol"
"business.settings.roles.name";"Название";"Nombre"
"business.settings.roles.namePlaceholder";"Название роли";"Nombre del rol"
"business.settings.roles.noRoles";"Нет кастомных ролей";"Sin roles personalizados"
"business.settings.roles.permissionNames.manage_clients";"Управление клиентами";"Gestionar clientes"
"business.settings.roles.permissionNames.manage_reviews";"Управление отзывами";"Gestionar reseñas"
"business.settings.roles.permissionNames.manage_roles";"Управление ролями";"Gestionar roles"
"business.settings.roles.permissionNames.manage_schedule";"Управление расписанием";"Gestionar agenda"
"business.settings.roles.permissionNames.manage_settings";"Управление настройками";"Gestionar configuración"
"business.settings.roles.permissionNames.manage_users";"Управление пользователями";"Gestionar usuarios"
"business.settings.roles.permissionNames.view_clients";"Просмотр клиентов";"Ver clientes"
"business.settings.roles.permissionNames.view_dashboard";"Просмотр дашборда";"Ver panel"
"business.settings.roles.permissionNames.view_reports";"Просмотр отчётов";"Ver reportes"
"business.settings.roles.permissionNames.view_reviews";"Просмотр отзывов";"Ver reseñas"
"business.settings.roles.permissionNames.view_schedule";"Просмотр расписания";"Ver agenda"
"business.settings.roles.permissions";"Разрешения";"Permisos"
"business.settings.roles.slug";"Код";"Slug"
"business.settings.roles.slugPlaceholder";"role_slug";"slug_del_rol"
"business.settings.roles.systemRole";"Системная";"Sistema"
"business.settings.roles.systemRoles";"Системные роли";"Roles del sistema"
"business.settings.roles.title";"Роли";"Roles"
"business.settings.roles.updateSuccess";"Роль обновлена";"Rol actualizado"
"business.settings.schedule.additionalSettings";"Дополнительные настройки";"Ajustes adicionales"
"business.settings.schedule.blockPastSlots";"Блокировать прошедшие слоты";"Bloquear horarios pasados"
"business.settings.schedule.breaks";"Перерывы";"Descansos"
"business.settings.schedule.days.friday";"Пятница";"Viernes"
"business.settings.schedule.days.monday";"Понедельник";"Lunes"
"business.settings.schedule.days.saturday";"Суббота";"Sábado"
"business.settings.schedule.days.sunday";"Воскресенье";"Domingo"
"business.settings.schedule.days.thursday";"Четверг";"Jueves"
"business.settings.schedule.days.tuesday";"Вторник";"Martes"
"business.settings.schedule.days.wednesday";"Среда";"Miércoles"
"business.settings.schedule.description";"Настройте рабочие часы";"Define tu horario de trabajo"
"business.settings.schedule.enableBreaks";"Включить перерывы";"Activar descansos"
"business.settings.schedule.maxBookingDays";"Максимальное бронирование на (дней вперед)";"Reserva máxima con anticipación (días)"
"business.settings.schedule.minBookingHours";"Минимальное время до бронирования (часов)";"Tiempo mínimo antes de la reserva (horas)"
"business.settings.schedule.notifications.saveError";"Не удалось сохранить настройки";"No se pudo guardar la configuración"
"business.settings.schedule.notifications.saved";"Настройки расписания успешно сохранены";"Horario guardado correctamente"
"business.settings.schedule.title";"Рабочее расписание";"Horario laboral"
"business.settings.schedule.weekStart.monday";"Понедельник";"Lunes"
"business.settings.schedule.weekStart.sunday";"Воскресенье";"Domingo"
"business.settings.schedule.weekStart.title";"Начало недели";"La semana empieza en"
"business.settings.schedule.workDays";"Рабочие дни";"Días laborables"
"business.settings.services.addService";"Добавить услугу";"Agregar servicio"
"business.settings.services.additionalServices.add";"Добавить";"Agregar"
"business.settings.services.additionalServices.deleteConfirm.confirm";"Удалить";"Eliminar"
"business.settings.services.additionalServices.deleteConfirm.message";"Вы уверены, что хотите удалить эту дополнительную услугу?";"¿Seguro que quieres eliminar este servicio adicional?"
"business.settings.services.additionalServices.deleteConfirm.title";"Удалить дополнительную услугу?";"¿Eliminar servicio adicional?"
"business.settings.services.additionalServices.edit";"Редактировать дополнительную услугу";"Editar servicio adicional"
"business.settings.services.additionalServices.forService";"Услуга";"Servicio"
"business.settings.services.additionalServices.form.active";"Активна";"Activo"
"business.settings.services.additionalServices.form.description";"Описание";"Descripción"
"business.settings.services.additionalServices.form.descriptionPlaceholder";"Описание услуги";"Descripción del servicio"
"business.settings.services.additionalServices.form.duration";"Длительность (мин)";"Duración (min)"
"business.settings.services.additionalServices.form.name";"Название";"Nombre"
"business.settings.services.additionalServices.form.namePlaceholder";"Например: Укладка";"p. ej.: peinado"
"business.settings.services.additionalServices.form.price";"Цена ($)";"Precio ($)"
"business.settings.services.additionalServices.form.showInBooking";"Показывать в букинге";"Mostrar en la reserva"
"business.settings.services.additionalServices.form.sortOrder";"Порядок сортировки";"Orden"
"business.settings.services.additionalServices.manageFor";"Управление дополнительными услугами для";"Administrar servicios adicionales para"
"business.settings.services.additionalServices.noItems";"Нет дополнительных услуг. Нажмите ""Добавить"" чтобы создать первую.";"No hay servicios adicionales. Haz clic en «Agregar» para crear uno."
"business.settings.services.additionalServices.notifications.createError";"Не удалось добавить дополнительную услугу";"No se pudo agregar el servicio adicional"
"business.settings.services.additionalServices.notifications.created";"Дополнительная услуга добавлена";"Servicio adicional agregado"
"business.settings.services.additionalServices.notifications.deleteError";"Не удалось удалить дополнительную услугу";"No se pudo eliminar el servicio adicional"
"business.settings.services.additionalServices.notifications.deleted";"Дополнительная услуга удалена";"Servicio adicional eliminado"
"business.settings.services.additionalServices.notifications.updateError";"Не удалось обновить дополнительную услугу";"No se pudo actualizar el servicio adicional"
"business.settings.services.additionalServices.notifications.updated";"Дополнительная услуга обновлена";"Servicio adicional actualizado"
"business.settings.services.additionalServices.statuses.active";"Активна";"Activo"
"business.settings.services.additionalServices.statuses.inactive";"Неактивна";"Inactivo"
"business.settings.services.additionalServices.title";"Дополнительные услуги";"Servicios adicionales"
"business.settings.services.columns.actions";"Действия";"Acciones"
"business.settings.services.columns.category";"Категория";"Categoría"
"business.settings.services.columns.duration";"Длительность";"Duración"
"business.settings.services.columns.name";"Название";"Nombre"
"business.settings.services.columns.price";"Цена";"Precio"
"business.settings.services.columns.status";"Статус";"Estado"
"business.settings.services.deleteConfirm.confirm";"Удалить";"Eliminar"
"business.settings.services.deleteConfirm.message";"Вы уверены, что хотите удалить эту услугу?";"¿Seguro que quieres eliminar este servicio?"
"business.settings.services.deleteConfirm.title";"Удалить услугу?";"¿Eliminar servicio?"
"business.settings.services.description";"Создавайте шаблоны услуг для быстрого добавления в объявления";"Crea plantillas para agregar servicios rápido a los anuncios"
"business.settings.services.editService";"Редактировать услугу";"Editar servicio"
"business.settings.services.form.cancel";"Отмена";"Cancelar"
"business.settings.services.form.category";"Категория";"Categoría"
"business.settings.services.form.categoryPlaceholder";"Например: Парикмахерские услуги";"p. ej.: cuidado del cabello"
"business.settings.services.form.create";"Создать";"Crear"
"business.settings.services.form.description";"Описание";"Descripción"
"business.settings.services.form.descriptionPlaceholder";"Опишите услугу";"Describe el servicio"
"business.settings.services.form.duration";"Длительность (мин)";"Duración (min)"
"business.settings.services.form.durationPlaceholder";"Введите длительность";"Ingresa la duración"
"business.settings.services.form.durationUnit";"Единица измерения";"Unidad de duración"
"business.settings.services.form.hours";"часов";"horas"
"business.settings.services.form.hybrid";"Гибридная (клиент выбирает)";"Híbrido (el cliente elige)"
"business.settings.services.form.minutes";"минут";"minutos"
"business.settings.services.form.name";"Название услуги";"Nombre del servicio"
"business.settings.services.form.namePlaceholder";"Например: Стрижка";"p. ej.: corte de cabello"
"business.settings.services.form.offsite";"Выезд к клиенту (Off-site)";"Tú vas al cliente (fuera)"
"business.settings.services.form.onsite";"Клиент приходит сам (On-site)";"El cliente va a tu local (en sitio)"
